iso,nodetype,node,curve,year,error
ercot,node,INGLCOSW_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,JCKCNTY2_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,PSG_PSG_GT3,fmm,2017,Error: Bad frequency in data
ercot,node,QALSW_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,WAP_WAP_G1,fmm,2017,Error: Bad frequency in data
ercot,node,WFCOGEN_24,fmm,2017,Error: Bad frequency in data
ercot,node,WHTTAIL_WR1,fmm,2017,Error: Bad frequency in data
ercot,node,BOSQ_BSQS_12,fmm,2017,Error: Bad frequency in data
ercot,node,MGSES_CT456,fmm,2017,Error: Bad frequency in data
ercot,node,HB_HUBAVG,fmm,2017,Error: Bad frequency in data
ercot,node,AUSTPL_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,BRISCOE_WIND,fmm,2017,Error: Bad frequency in data
ercot,node,CHEDPW_GT2,fmm,2017,Error: Bad frequency in data
ercot,node,DOW_81_2_84,fmm,2017,Error: Bad frequency in data
ercot,node,FREC_2_CCU,fmm,2017,Error: Bad frequency in data
ercot,node,FTWIND_UNIT1,fmm,2017,Error: Bad frequency in data
ercot,node,GUADG_CCU1,fmm,2017,Error: Bad frequency in data
ercot,node,KMCHI_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,LASSO_GEN,fmm,2017,Error: Bad frequency in data
ercot,node,MLSES_UNIT1,fmm,2017,Error: Bad frequency in data
ercot,node,RIGGIN_UNIT1,fmm,2017,Error: Bad frequency in data
ercot,node,WHCCS2_5_6,fmm,2017,Error: Bad frequency in data
ercot,node,AMOCO_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,CAPRIDGE_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,DANSBY_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,DDPEC_GT1,fmm,2017,Error: Bad frequency in data
ercot,node,EXN_14,fmm,2017,Error: Bad frequency in data
ercot,node,FERGCC_GT2_3,fmm,2017,Error: Bad frequency in data
ercot,node,LZ_AEN,fmm,2017,Error: Bad frequency in data
ercot,node,LZ_AEN,fmm,2019,Error: Bad frequency in data
ercot,node,LZ_AEN,fmm,2022,Error: Bad frequency in data
ercot,node,PB2SES_CT1,fmm,2017,Error: Bad frequency in data
ercot,node,STEA_STEAM_2,fmm,2017,Error: Bad frequency in data
ercot,node,SW_M_SW_MESA,fmm,2017,Error: Bad frequency in data
ercot,node,TKWSW_ROSCOE,fmm,2017,Error: Bad frequency in data
ercot,node,RN_OCI_ALAMO,fmm,2017,Error: Bad frequency in data
